username	server	user_id
jorge	scholar.social	53360
jqjacobs	archaeo.social	11127
jsta	mas.to	-1
jstratford	fediscience.org	109310384050651258
JulieeeMai	mastodon.social	109247988548564162
juliusgarbe	mastodon.social	109250398052631618
Jussi_T_Eronen	mstdn.social	109296353987967907
K_VanTricht	mapstodon.space	109335854188602487
Kachovich	scicomm.xyz	109296234163047697
kajord	scicomm.xyz	109270248445742765
KatrinaGelwick	scicomm.xyz	109298371342656407
kau	qoto.org	-1
keepitrheol	mastodon.social	109259840191896360
keiko_geo	fediscience.org	109298959690995833
Kek	mstdn.ca	-1
kel	toot.cafe	-1
KerrytheNik	mastodon.online	109286825662532391
kjsgeo	mastodon.nz	109264629203216346
kotranc	mastodon.scot	109298783639746036
kovanhuissteden	mastodon.social	109253690410650569
KPedleyGeo	mastodon.nz	109293369595860350
kratzert	sigmoid.social	109315606675229788
ksircombe	aus.social	109286935908147765
ktoddbrown/	social.coop	-1
kwh	ohai.social	-1
Kyrengogogo	mstdn.science	109366977191760041
La_U_Re_N	mstdn.science	109399670811003695
lastquake	masto.ai	109392867134136847
lavergnetho	fediscience.org	109287724714725011
leierbucks	mindly.social	109521571354727521
leifdenby	mas.to	109261781592417038
leouieda	scicomm.xyz	108228691010771301
lhartl	mastodon.social	109496185734766256
lithospheric	mastodon.xyz	197766
m_parrington	airpollution.science	109369385667558960
madloff	mas.to	109536260842708482
maitri	c.im	109301132783200537
mantlerocks	mstdn.social	109281376478284437
mapperwocky	mapstodon.space	109297953003193806
marcoalopez	fediscience.org	109303987995123168
mariaansine	ohai.social	109366572567825095
martinhtrauth	fediscience.org	109292494100236493
MATBGor	mastodon.social	109319492708080588
mattlanza	mstdn.social	109287509280165051
MattTG	mastodon.social	108196002742840277
maxvelocity	mastodonapp.uk	109292811203111665
mcnamadd	mastodon.social	109297124955942738
michael_w_busch	mastodon.online	108195706285118303
mikamckinnon	mastodon.social	109303621650239942
MikeAClare	mapstodon.space	109337902090928124
MindOverMagma	mastodon.scot	109369987755339094
Mojtaba	mastodon.au	109379043145155693
